age,amount,authentication_information,avg_amount,avg_data,avg_rate,bidders,borrow_history,college,cumulative_amount_of_borrowing,degree_education,end_time,first_borrow_time,id,last_fuzhai,learn_form,male,max_borrow_amount,max_liabilities,max_overtime,normal_repay,overtime_less_15,overtime_more_15,progressBar,registerTime,state,succeed_borrow,succeed_repay,sum_of_to_pay,timeLimit,to_be_gather,to_be_repay,update_time,userId,userName,userRate,year_rate
26,4006,身份证认证|手机认证|人行征信认证,2791.0,292.2,0.19448,13,0次流标，0次撤标，0次失败,无,30910.00,无,14天18时18分,2016/1/16,62116727,9205.91,无,男,4087.00,15064.78,-1.0,76,0,0,23%,2016/1/11,0.5,11,76,6646.67,12 ,0.00,9205.91,2017-07-31,,pdu7781447306,C,20
26,2000,,0,0,0,3,,无,,无,2017/7/31,,62112236,,无,女,,,,,,,100%,2016/11/16,1,,,,12 ,,,2017-07-31,,pdu7160516623,B,18
26,2000,身份证认证|手机认证,990.0,84.6,0.13984000000000002,1,0次流标，1次撤标，0次失败,无,18300.00,无,14天18时30分,2016/11/8,62117459,7150.96,无,男,2000.00,8171.30,0.0,47,0,0,1%,2016/11/1,0.5,17,47,5390.96,12 ,0.00,7150.96,2017-07-31,,pdu6843362833,C,20
24,12400,学历认证|身份证认证|手机认证,5016.5,360.0,0.165,21,0次流标，3次撤标，0次失败,中国地质大学(北京),20066.00,专科,19天18时04分,2016/11/13,62116252,0,网络教育,男,8200.00,10120.62,-6.0,9,0,0,33%,2016/10/2,0.5,4,9,,12 ,0.00,0.00,2017-07-31,,pdu5050250758,B,18
43,8000,身份证认证|手机认证,7000.0,270.0,0.22,2,1次流标，0次撤标，0次失败,无,7000.00,无,14天16时27分,2016/7/5,62109681,,无,男,7000.00,6806.40,0.0,6,1,0,2%,2016/7/5,0.5,1,7,,6 ,0.00,0.00,2017-07-31,,pdu7475452281,C,20
33,2400,身份证认证|手机认证,2986.4,300.0,0.191,2,1次流标，0次撤标，1次失败,无,29864.00,无,14天14时06分,2015/4/16,62096203,10284.77,无,男,6017.00,10789.47,0.0,59,2,0,42%,2015/4/16,0.5,10,61,8333.710000000001,6 ,0.00,10284.77,2017-07-31,,rong2653878,C,20
29,3000,,0,0,0,26,,无,,无,2017/7/31,,62036954,,无,男,,,,,,,100%,2015/9/26,1,,,,6 ,,,2017-07-31,,pdu87362873,C,20
24,2000,身份证认证|手机认证,2489.0,231.42857142857142,0.20714285714285716,3,0次流标，0次撤标，0次失败,无,17423.00,无,19天04时21分,2016/12/18,62003450,7084.46,无,男,5400.00,7236.42,1.0,20,1,0,53%,2016/12/18,0.5,7,21,4052.06,6 ,0.00,7084.46,2017-07-31,,pdu8751755064,C,20
38,15500,身份证认证|手机认证|视频认证,5000.0,360.0,0.22,10,0次流标，0次撤标，0次失败,无,10000.00,无,14天03时51分,2016/4/13,61997769,5604.28,无,女,5500.00,6113.76,0.0,13,0,0,41%,2016/4/13,0.5,2,13,2547.4,12 ,0.00,5604.28,2017-07-31,,pdu1188261422,B,18
30,8000,,0,0,0,53,,无,,无,2017/7/30,,61941900,,无,女,,,,,,,100%,2016/6/9,1,,,,12 ,,,2017-07-31,,pdu8316554676,B,18
27,5648,,0,0,0,34,,无,,无,2017/7/30,,61913855,,无,男,,,,,,,100%,2016/1/11,1,,,,12 ,,,2017-07-31,,pdu6251761166,C,20
23,2613,身份证认证|手机认证,2357.9,288.0,0.22399999999999998,3,0次流标，0次撤标，0次失败,无,23579.00,无,14天12时26分,2016/5/25,62084332,10091.26,无,男,4346.00,12952.06,-1.0,61,0,0,39%,2016/5/25,0.5,10,61,7258.54,12 ,0.00,10091.26,2017-07-31,,pdu1560604785,C,20
22,4000,学历认证|身份证认证|手机认证,0,0,0,7,0次流标，0次撤标，0次失败,常州机电职业技术学院,0.00,专科,18天10时26分,,61895678,,成人,男,0.00,0.00,,0,0,0,47%,2017/5/24,0.5,0,0,,12 ,0.00,0.00,2017-07-31,,pdu5101784773,C,20
24,20000,身份证认证|手机认证,0,0,0,6,0次流标，1次撤标，0次失败,无,0.00,无,19天05时58分,,62020817,,无,女,0.00,0.00,,0,0,0,20%,2017/7/22,0.5,0,0,,12 ,0.00,0.00,2017-07-31,,pdu0266024403,D,22
32,3654,学历认证|身份证认证|手机认证,8700.0,360.0,0.22,15,1次流标，0次撤标，0次失败,南京师范大学,17400.00,本科,19天13时27分,2016/6/13,62091632,8956.97,普通,男,8700.00,9788.72,4.0,1,12,0,49%,2016/2/2,0.5,2,14,4885.62,6 ,0.00,8962.31,2017-07-31,,pdu7006235800,C,20
25,2322,身份证认证|手机认证,1800.0,252.0,0.198,4,0次流标，0次撤标，0次失败,无,9000.00,无,18天21时35分,2017/2/16,61950604,5921.08,无,女,2500.00,6248.91,1.0,10,1,0,74%,2017/2/8,0.5,5,11,4704.41,12 ,0.00,5921.08,2017-07-31,,pdu7754754734,C,20
